,CODE_INDEX,N_POSITIVE_CODES,AUC(GRU),AUC(ICENODE),AUC(ICENODE_UNIFORM),AUC(RETAIN),VAR[AUC(GRU)],VAR[AUC(ICENODE)],VAR[AUC(ICENODE_UNIFORM)],VAR[AUC(RETAIN)],P0(AUC_GRU==AUC_ICENODE),P0(AUC_GRU==AUC_ICENODE_UNIFORM),P0(AUC_GRU==AUC_RETAIN),P0(AUC_ICENODE==AUC_ICENODE_UNIFORM),P0(AUC_ICENODE==AUC_RETAIN),P0(AUC_ICENODE_UNIFORM==AUC_RETAIN)
96,96,89.0,0.9674629904775321,0.9711504281260903,0.9666543670171726,0.9669164683160483,3.134382996384683e-05,2.1624857560926952e-05,3.429734048343166e-05,2.8429396004605245e-05,0.16234468625276688,0.7148002157428706,0.7180070214455129,0.04460862385977967,0.0883560596944031,0.903590036004721
97,97,26.0,0.939376816499621,0.9382788744765543,0.9368438572591451,0.9445315493989991,0.00029552241703765386,0.00036303410896932036,0.0002698001522456707,0.00023876850022285488,0.8695763750781224,0.8024437013397984,0.24969485476260467,0.9214456615171414,0.4703745032612051,0.4110504408188065
98,98,148.0,0.9768624827113705,0.9774371661357087,0.9723053677924555,0.9732244663847834,1.759359330748601e-05,1.7652752686920214e-05,2.2631379150668937e-05,2.8188094136039253e-05,0.7381999660588754,0.0227498761626039,0.07350916631783665,0.019892929899452315,0.029627233042581042,0.656716672570979
99,99,794.0,0.9560312006729608,0.9503048706079705,0.9458583167478735,0.9542619174315012,2.12402246820842e-05,2.328644447119545e-05,2.7262254037483155e-05,2.394220937620671e-05,0.10696620301855506,0.005995164796669461,0.4405196536886089,0.01673338220463109,0.29592916147658255,0.032771073061589696
100,100,84.0,0.9488517355850908,0.9527102302602467,0.9467619707042468,0.948454780038906,6.48563523714097e-05,5.892226186607935e-05,7.108600110198824e-05,7.046623993385021e-05,0.38518978044768826,0.5678473336269607,0.9289674827710072,0.1295131276829788,0.26924509042513045,0.5836351577353209
101,101,194.0,0.9631029603859821,0.9655344918179463,0.9577932916325144,0.9600738483961606,1.3011865685061875e-05,1.0723276433172516e-05,2.060495256420536e-05,2.098509259965615e-05,0.2641371784550518,0.010767982253149296,0.1366171221015092,0.0007417299821627843,0.014395464197076154,0.14891419823014013
102,102,243.0,0.9661046657030986,0.9699213789945164,0.9600656970045823,0.9640201275324963,1.0330698521446239e-05,6.431755904350474e-06,1.6725722333885468e-05,1.2235045035556926e-05,0.05582466953519027,0.0005857402314335851,0.13446297320961864,6.728223048148082e-05,0.006560296936411666,0.022405176874124837
103,103,471.0,0.9781444816586846,0.9805907960755378,0.9752152139850204,0.9766284840086281,3.821754618005522e-06,2.6390509757724585e-06,5.2249434839423055e-06,4.382161736216147e-06,0.052153192983336705,0.0022255187850766657,0.06720070035824764,0.0015861038376268526,0.003900543085302044,0.16581656427882985
104,104,781.0,0.9748471829262361,0.975403316617405,0.9719267150232316,0.9731807926666954,3.1216293669811084e-06,3.0554741186341517e-06,4.127561393432676e-06,3.661008201656702e-06,0.599704052041796,0.007501423773921418,0.031520300919419646,0.006361464383657239,0.051489162128335784,0.18959276900518895
105,105,1040.0,0.9806324334528977,0.9842157934099127,0.9783967521528877,0.9795708383555278,1.920415322628828e-06,1.2906596701310496e-06,2.185674291393584e-06,2.2040940218662153e-06,2.340567012380567e-05,0.0014667265677851336,0.08586810099528364,1.3961249501725545e-08,5.654013854631071e-07,0.08168379427001835
106,106,1083.0,0.7323721746294246,0.717851726977067,0.7139740436445753,0.7151631826392202,7.557711604106306e-05,8.177900899060858e-05,8.2461955233534e-05,7.994797375370915e-05,0.020064748097353556,0.00429917397191046,0.00012872169855872973,0.009254557289463516,0.6329511114614161,0.8355055454317394
107,107,551.0,0.7125179493272878,0.7036860930946881,0.6998707298565521,0.7077598216848462,0.00018051147615874173,0.00017658549133132593,0.0001801855362578355,0.00019871187771174895,0.4206047232305292,0.25000257058010844,0.5617848363912151,0.26778608091867073,0.738631329726015,0.5153319296361102
108,108,945.0,0.890923457586362,0.8844509337887818,0.8801902413000984,0.89308054749364,3.412787806144281e-05,3.6207513236882424e-05,3.91902129012776e-05,3.252581286787666e-05,0.0512001296584976,0.004307540444839802,0.3625475393548877,0.013178554681449775,0.010500357385094066,0.0005825035150574253
109,109,1074.0,0.7202182356512202,0.7232257995476967,0.7181912981010459,0.7287874518971061,6.391863946622438e-05,6.349214344035642e-05,6.446922848388193e-05,6.356846340087216e-05,0.5990780241129207,0.7270503650158426,0.04307076954626177,0.03620257670115713,0.30766910745977727,0.055266457583867105
110,110,2.0,0.9977473385895432,0.9999818333757221,0.9999999999999999,0.999854667005777,1.0981452420854067e-06,6.600524753076789e-10,0.0,9.240111103528246e-09,0.030022322531276,0.031583587229495884,0.031046412424369563,0.4795001221894375,0.1355813772701744,0.1305570387033243
111,111,474.0,0.6090395825232132,0.6334756492931698,0.6263801676689147,0.6130270498590956,0.00018812969992757246,0.00018440540819699832,0.00018401330085119746,0.00019267911176818877,0.026286532211839117,0.1044354318419387,0.5974675689158533,0.020570343082914933,0.04274052191663284,0.172730686933955
112,112,396.0,0.8977016283219976,0.8858093262605039,0.8810935947256858,0.8932613763422124,9.536286223573531e-05,0.0001057689568601989,0.00011045999239501556,0.00010126996770991996,0.05932782600458668,0.011854549409690994,0.3924017171420403,0.0051895372931821514,0.2106429023002162,0.05104264764684894
